frequency_mode,seed,K,sigma_omega,rho,max_delta,Lambda_K,eta,t_f_num,phi_bar_tf,T_eta_pred,T_eta_sim,relative_error,fast_threshold_reached,hitting_threshold_reached,locked_profile_residual,sphere_norm_error
gaussian,1,12.0,0.24,0.061544619411513124,0.7385354329381575,0.004803655257140037,0.82,0.0,0.85,12.554123718064497,12.544631792235599,0.0007566524060732915,True,True,3.747002708109903e-15,5.661490165564942e-10
gaussian,1,12.0,0.28,0.07180205598009864,0.8616246717611837,0.006540109528345803,0.82,0.0,0.8499999999999999,9.2208979277324,9.211273293682874,0.0010448755283514282,True,True,1.1213252548714081e-14,6.033543664685226e-10
gaussian,1,12.0,0.32,0.08205949254868417,0.98471391058421,0.00854490186084889,0.82,0.0,0.85,7.057504390234848,7.047742410104901,0.0013851215838919704,True,True,4.973799150320701e-14,6.617703052214097e-10
gaussian,1,12.0,0.36,0.09231692911726967,1.107803149407236,0.010818546259888984,0.82,0.0,0.85,5.574287057463282,5.564382440374936,0.0017800029373392509,True,True,2.220446049250313e-16,7.684850533706822e-10
gaussian,2,6.0,0.2,0.08717284120487728,0.5230370472292637,0.0066787051319203965,0.82,0.0,0.8499999999999999,9.029547076249859,9.031406925709065,0.00020593130998363993,True,True,1.6653345369377348e-16,5.658017387943914e-10
gaussian,2,6.0,0.24,0.10460740944585271,0.6276444566751163,0.009625005787766282,0.82,0.0,0.85,6.265521676227726,6.266873082838801,0.00021564288812164154,True,True,1.6653345369377348e-15,6.442423261532326e-10
gaussian,2,6.0,0.28,0.12204197768682819,0.7322518661209692,0.013113087206063075,0.82,0.0,0.8499999999999999,4.598892804524575,4.599701314833214,0.00017577452388739724,True,True,3.3861802251067274e-15,8.080641711316616e-10
gaussian,2,6.0,0.32,0.13947654592780365,0.8368592755668219,0.017146044617134367,0.82,0.0,0.85,3.517177503247737,3.5174103149531546,6.618838422911083e-05,True,True,3.3306690738754696e-16,1.0548740769777964e-09
gaussian,2,6.0,0.36,0.1569111141687791,0.9414666850126745,0.021727489060585515,0.82,0.0,0.8499999999999999,2.7755477049791053,2.775168255857851,0.00013673013175080439,True,True,2.9976021664879227e-15,1.0966192398598196e-09
gaussian,2,7.5,0.2,0.06973827296390182,0.5230370472292637,0.005339488411177269,0.82,0.0,0.8499999999999999,11.294280978459945,11.296150902045012,0.0001655363496187616,True,True,8.548717289613705e-15,5.516360701562917e-10
gaussian,2,7.5,0.24,0.08368592755668217,0.6276444566751163,0.007692777139691185,0.82,0.0,0.8500000000000002,7.839260295988277,7.840825976319651,0.00019968308646337583,True,True,6.272760089132134e-14,6.032599975114294e-10
gaussian,2,7.5,0.28,0.09763358214946255,0.7322518661209692,0.010477035245836645,0.82,0.0,0.8499999999999999,5.7559873553953125,5.757233605798654,0.00021646688126159778,True,True,2.831068712794149e-15,6.864097068515207e-10
gaussian,2,7.5,0.32,0.11158123674224292,0.8368592755668219,0.013693828370649452,0.82,0.0,0.8500000000000002,4.403858494847433,4.404768025186863,0.00020648768203669773,True,True,5.551115123125783e-16,8.753864300103942e-10
gaussian,2,7.5,0.36,0.12552889133502326,0.9414666850126745,0.017344975735021056,0.82,0.0,0.8499999999999999,3.4768386718065094,3.4773943276051043,0.00015979085092070292,True,True,2.886579864025407e-15,1.178022457359873e-09
gaussian,2,9.0,0.2,0.058115227469918186,0.5230370472292637,0.004448003709850765,0.82,0.1364256480218281,0.8496897450070721,13.553676609405803,13.559679774598369,0.0004427217524569435,True,True,1.3322676295501878e-15,5.413962611555689e-10
gaussian,2,9.0,0.24,0.06973827296390181,0.6276444566751163,0.006407386093412726,0.82,0.0,0.8499999999999999,9.411900815383284,9.413459450662398,0.00016557518384001244,True,True,9.992007221626409e-15,5.852057727295801e-10
gaussian,2,9.0,0.28,0.08136131845788547,0.7322518661209692,0.00872480705024111,0.82,0.0,0.8500000000000002,6.911978918250212,6.913326440181817,0.00019491657789692777,True,True,5.473399511402022e-14,6.404949903782153e-10
gaussian,2,9.0,0.32,0.0929843639518691,0.8368592755668219,0.0114011666972255,0.82,0.0,0.85,5.28943080989619,5.290559217695804,0.00021328705590118358,True,True,2.220446049250313e-16,7.65873142682949e-10
gaussian,2,9.0,0.36,0.10460740944585273,0.9414666850126745,0.014437508681649426,0.82,0.0,0.85,4.177014450818483,4.177913477673343,0.000215185608717,True,True,2.886579864025407e-15,9.626033303788972e-10
gaussian,2,10.5,0.2,0.04981305211707273,0.5230370472292637,0.0038117641888723345,0.82,0.1364256480218281,0.849735034733688,15.817174266188951,15.82256387429796,0.00034062798872718045,True,True,3.3306690738754696e-16,5.447881035181013e-10
gaussian,2,10.5,0.24,0.05977566254048726,0.6276444566751163,0.0054903625237585725,0.82,0.1364256480218281,0.8496182387634353,10.980114053399014,10.985399517606483,0.0004811353650814845,True,True,2.220446049250313e-15,5.741852548979409e-10
gaussian,2,10.5,0.28,0.06973827296390182,0.7322518661209692,0.007475283775648192,0.82,0.0,0.8499999999999999,8.067343556042802,8.068678988493254,0.00016550818942679408,True,True,1.176836406102666e-14,6.161958721051519e-10
gaussian,2,10.5,0.32,0.07970088338731637,0.8368592755668219,0.009767092549815311,0.82,0.0,0.8499999999999999,6.174374010432315,6.17555511011439,0.00019125401053267222,True,True,5.184741524999481e-14,7.02482627623624e-10
gaussian,2,10.5,0.36,0.08966349381073091,0.9414666850126745,0.012366442634822216,0.82,0.0,0.8499999999999999,4.876558617371027,4.877579918980399,0.00020938695548536535,True,True,2.9976021664879227e-15,8.234899429027109e-10
gaussian,2,12.0,0.2,0.04358642060243864,0.5230370472292637,0.003334833767694251,0.82,0.1364256480218281,0.8497688457952578,18.080199258028866,18.085063020748994,0.00026893811288062117,True,True,2.220446049250313e-16,5.4426596562962e-10
gaussian,2,12.0,0.24,0.05230370472292636,0.6276444566751163,0.004803112626542503,0.82,0.1364256480218281,0.8496669825342439,12.552140814810414,12.556934421821826,0.0003817497846513163,True,True,1.4988010832439613e-15,5.665529156928528e-10
gaussian,2,12.0,0.28,0.061020988843414094,0.7322518661209692,0.006539102764737147,0.82,0.0,0.8499999999999999,9.222317581897013,9.223599281727058,0.00013895875036378676,True,True,3.1086244689504383e-15,6.074828418078937e-10
